Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Ninetales-Alola,38,,,♂ 25%,♀ 75%,Ice,----,"5,120",Field,----,Snow Cloak,----,Snow Warning,----,Agility,Charm,Disable,Encore,Flail,Freeze-Dry,Howl,Hypnosis,Moonblast,Power Swap,Secret Power,Spite,Tail Slap,,,,Flame Body,,,,,,Acid,Poison,,,,Passho Berry,,,,,,,US Newsletter Zarude,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Worldwide_Jungle_Zarude
Jigglypuff,39,,,♂ 25%,♀ 75%,Fairy,Normal,"2,560",Fairy,----,Cute Charm,Competitive,Friend Guard,----,Captivate,Covet,Fake Tears,Feint Attack,Gravity,Heal Pulse,Last Resort,Misty Terrain,Perish Song,Present,Punishment,Wish,,,,,Flare Boost,,,,,,Ember,Fire,,,,Payapa Berry,,,,,,,Go-Home Transfer Gift,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_GO_Melmetal
Wigglytuff,40,,,♂ 25%,♀ 75%,Fairy,Normal,"2,560",Fairy,----,Cute Charm,Competitive,Frisk,----,Captivate,Covet,Fake Tears,Feint Attack,Gravity,Heal Pulse,Last Resort,Misty Terrain,Perish Song,Present,Punishment,Wish,,,,,Flash Fire,,,,,,Flamethrower,Fire,,,,Pecha Berry,,,,,,,NAIC 2018,https://bulbapedia.bulbagarden.net/wiki/List_of_local_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ryota_Otsubo.27s_Krookodile
Zubat,41,,,♂ 50%,♀ 50%,Poison,Flying,"3,840",Flying,----,Inner Focus,----,Infiltrator,----,Brave Bird,Curse,Defog,Feint Attack,Giga Drain,Gust,Hypnosis,Nasty Plot,Pursuit,Quick Attack,Venom Drench,Whirlwind,Zen Headbutt,,,,Flower Gift,,,,,,Mist,Ice,,,,Persim Berry,,,,,,,NAIC 2019,https://bulbapedia.bulbagarden.net/wiki/List_of_local_event_Pok%C3%A9mon_distributions_in_Generation_VII#Paul_Ruiz.27s_West_Sea_Gastrodon
Golbat,42,,,♂ 50%,♀ 50%,Poison,Flying,"3,840",Flying,----,Inner Focus,----,Infiltrator,----,Brave Bird,Curse,Defog,Feint Attack,Giga Drain,Gust,Hypnosis,Nasty Plot,Pursuit,Quick Attack,Venom Drench,Whirlwind,Zen Headbutt,,,,Flower Veil,,,,,,Water Gun,Water,,,,Petaya Berry,,,,,,,Decolara Jirachi,https://bulbapedia.bulbagarden.net/wiki/List_of_Wi-Fi_Japanese_event_Pok%C3%A9mon_distributions_in_Generation_V#Decolora_Jirachi
Oddish,43,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Grass,----,Chlorophyll,----,Run Away,----,After You,Charm,Flail,Ingrain,Razor Leaf,Secret Power,Synthesis,Teeter Dance,Tickle,,,,,,,,Fluffy,,,,,,Hydro Pump,Water,,,,Pinap Berry,,,,,,,PJCS 2018,https://bulbapedia.bulbagarden.net/wiki/List_of_local_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ryota_Otsubo.27s_Golduck
Gloom,44,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Grass,----,Chlorophyll,----,Stench,----,After You,Charm,Flail,Ingrain,Razor Leaf,Secret Power,Synthesis,Teeter Dance,Tickle,,,,,,,,Forecast,,,,,,Surf,Water,,,,Pomeg Berry,,,,,,,PAL Jungle Zarude,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Worldwide_Jungle_Zarude
Vileplume,45,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Grass,----,Chlorophyll,----,Effect Spore,----,After You,Charm,Flail,Ingrain,Razor Leaf,Secret Power,Synthesis,Teeter Dance,Tickle,,,,,,,,Forewarn,,,,,,Ice Beam,Ice,,,,Qualot Berry,,,,,,,25th Singing Pikachu,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Singing_Pikachu
Paras,46,,,♂ 50%,♀ 50%,Bug,Grass,"5,120",Bug,Grass,Effect Spore,Dry Skin,Damp,----,Agility,Bug Bite,Counter,Endure,Fell Stinger,Flail,Leech Seed,Metal Claw,Natural Gift,Psybeam,Pursuit,Rototiller,Screech,Sweet Scent,Wide Guard,,Friend Guard,,,,,,Blizzard,Ice,,,,Rabuta Berry,,,,,,,2020 Scrap Campaign,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Scrap_2020_Pok.C3.A9mon
Parasect,47,,,♂ 50%,♀ 50%,Bug,Grass,"5,120",Bug,Grass,Effect Spore,Dry Skin,Damp,----,Agility,Bug Bite,Counter,Endure,Fell Stinger,Flail,Leech Seed,Metal Claw,Natural Gift,Psybeam,Pursuit,Rototiller,Screech,Sweet Scent,Wide Guard,,Frisk,,,,,,Psybeam,Psychic,,,,Rawst Berry,,,,,,,JPN Forest of Okoya Dada,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Forest_of_Okoya_Dada_Zarude
Venonat,48,,,♂ 50%,♀ 50%,Bug,Poison,"5,120",Bug,----,Compound Eyes,Tinted Lens,Run Away,----,Agility,Baton Pass,Bug Bite,Giga Drain,Morning Sun,Rage Powder,Screech,Secret Power,Skill Swap,Toxic Spikes,,,,,,,Full Metal Body,,,,,,Bubble Beam,Water,,,,Razz Berry,,,,,,,US Newsletter Zarude,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Worldwide_Jungle_Zarude
Venomoth,49,,,♂ 50%,♀ 50%,Bug,Poison,"5,120",Bug,----,Shield Dust,Tinted Lens,Wonder Skin,----,Agility,Baton Pass,Bug Bite,Giga Drain,Morning Sun,Rage Powder,Screech,Secret Power,Skill Swap,Toxic Spikes,,,,,,,Fur Coat,,,,,,Aurora Beam,Ice,,,,Rindo Berry,,,,,,,Rock Star Shiny Toxtricity,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Rock_Star_Shiny_Toxtricity
Diglett,50,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Sand Veil,Arena Trap,Sand Force,----,Ancient Power,Beat Up,Endure,Feint Attack,Final Gambit,Headbutt,Memento,Pursuit,Reversal,Screech,Uproar,,,,,,Gale Wings,,,,,,Hyper Beam,Normal,,,,Roseli Berry,,,,,,,PJCS 2020 Torkoal,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Japan_Championships_2020_Torkoal
Diglett-Alola,50,,,♂ 50%,♀ 50%,Ground,Steel,"5,120",Field,----,Sand Veil,Tangling Hair,Sand Force,----,Ancient Power,Beat Up,Endure,Feint Attack,Final Gambit,Headbutt,Memento,Metal Sound,Pursuit,Reversal,Thrash,,,,,,Galvanize,,,,,,Peck,Flying,,,,Rowap Berry,,,,,,,Wolfe Glick's Gmax Coalossal,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Wolfe_Glick.27s_Gigantamax_Coalossal
Dugtrio,51,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Sand Veil,Arena Trap,Sand Force,----,Ancient Power,Beat Up,Endure,Feint Attack,Final Gambit,Headbutt,Memento,Pursuit,Reversal,Screech,Uproar,,,,,,Gluttony,,,,,,Drill Peck,Flying,,,,Salac Berry,,,,,,,Jeong Sang-yoon's Porygon-Z,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Jeong_Sang-yoon.27s_Porygon-Z
Dugtrio-Alola,51,,,♂ 50%,♀ 50%,Ground,Steel,"5,120",Field,----,Sand Veil,Tangling Hair,Sand Force,----,Ancient Power,Beat Up,Endure,Feint Attack,Final Gambit,Headbutt,Memento,Metal Sound,Pursuit,Reversal,Thrash,,,,,,Gooey,,,,,,Submission,Fighting,,,,Shuca Berry,,,,,,,SwSh GMax Kanto Starters,https://bulbapedia.bulbagarden.net/wiki/List_of_internet_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Gigantamax_Factor_Pok.C3.A9mon
Meowth,52,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Pickup,Technician,Unnerve,----,Amnesia,Assist,Charm,Flail,Foul Play,Hypnosis,Iron Tail,Last Resort,Odor Sleuth,Punishment,Snatch,Spite,Tail Whip,,,,Grass Pelt,,,,,,Low Kick,Fighting,,,,Sitrus Berry,,,,,,,Home GMax Kanto Starters,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_VIII#Gigantamax_Factor_Pok.C3.A9mon
Meowth-Alola,52,,,♂ 50%,♀ 50%,Dark,----,"5,120",Field,----,Pickup,Technician,Rattled,----,Amnesia,Assist,Charm,Covet,Flail,Flatter,Foul Play,Hypnosis,Parting Shot,Punishment,Snatch,Spite,,,,,Grassy Surge,,,,,,Counter,Fighting,,,,Spelon Berry,,,,,,,Korean Jungle Pokemon,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Korean_Jungle_Pok.C3.A9mon
Meowth-Galar,52,,,♂ 50%,♀ 50%,Steel,----,"5,120",Field,----,Pickup,Tough Claws,Unnerve,----,Spite,Double-Edge,Curse,Flail,Night Slash,Covet,,,,,,,,,,,,,,,,,Seismic Toss,Fighting,,,,,,,,,,,Pokemon Adventure 25 (Scraps),https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Adventure_25_Pok.C3.A9mon
Meowth-Gigantamax,52,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Pickup,Technician,Unnerve,----,Amnesia,Assist,Charm,Flail,Foul Play,Hypnosis,Iron Tail,Last Resort,Odor Sleuth,Punishment,Snatch,Spite,Tail Whip,,,,,,,,,,Strength,Normal,,,,,,,,,,,Lunar Magikarp,https://bulbapedia.bulbagarden.net/wiki/List_of_Japanese_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Lunar_Magikarp
Persian,53,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Limber,Technician,Unnerve,----,Amnesia,Assist,Charm,Flail,Foul Play,Hypnosis,Iron Tail,Last Resort,Odor Sleuth,Punishment,Snatch,Spite,Tail Whip,,,,Guts,,,,,,Absorb,Grass,,,,Starf Berry,,,,,,,Rocky Lycanroc,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Rocky_Lycanroc
Persian-Alola,53,,,♂ 50%,♀ 50%,Dark,----,"5,120",Field,----,Fur Coat,Technician,Rattled,----,Amnesia,Assist,Charm,Covet,Flail,Flatter,Foul Play,Hypnosis,Parting Shot,Punishment,Snatch,Spite,,,,,Harvest,,,,,,Mega Drain,Grass,,,,Tamato Berry,,,,,,,Clovis Salazzle,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Clovis_Salazzle
Psyduck,54,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Field,Damp,Cloud Nine,Swift Swim,----,Clear Smog,Confuse Ray,Cross Chop,Encore,Foresight,Future Sight,Hypnosis,Mud Bomb,Psybeam,Refresh,Secret Power,Simple Beam,Synchronoise,Yawn,,,Healer,,,,,,Leech Seed,Grass,,,,Tanga Berry,,,,,,,Leonardo Bonanomi's Gmax Charizard,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Leonardo_Bonanomi.27s_Gigantamax_Charizard
Golduck,55,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Field,Damp,Cloud Nine,Swift Swim,----,Clear Smog,Confuse Ray,Cross Chop,Encore,Foresight,Future Sight,Hypnosis,Mud Bomb,Psybeam,Refresh,Secret Power,Simple Beam,Synchronoise,Yawn,,,Heatproof,,,,,,Growth,Normal,,,,Wacan Berry,,,,,,,Worldwide Jungle Dada Zarude (Newsletter),https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Dada_Zarude
Mankey,56,,,♂ 50%,♀ 50%,Fighting,----,"5,120",Field,----,Vital Spirit,Anger Point,Defiant,----,Beat Up,Counter,Encore,Focus Punch,Foresight,Meditate,Night Slash,Power Trip,Revenge,Reversal,Smelling Salts,,,,,,Heavy Metal,,,,,,Razor Leaf,Grass,,,,Watmel Berry,,,,,,,Worldwide Jungle Shiny Celebi (Newsletter),https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Celebi
Primeape,57,,,♂ 50%,♀ 50%,Fighting,----,"5,120",Field,----,Vital Spirit,Anger Point,Defiant,----,Beat Up,Counter,Encore,Focus Punch,Foresight,Meditate,Night Slash,Power Trip,Revenge,Reversal,Smelling Salts,,,,,,Honey Gather,,,,,,Solar Beam,Grass,,,,Wepear Berry,,,,,,,Japanese Birthday Milcery,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Japan_Pok.C3.A9mon_Center_Birthday_Milcery
Growlithe,58,,,♂ 75%,♀ 25%,Fire,----,"5,120",Field,----,Intimidate,Flash Fire,Justified,----,Body Slam,Burn Up,Close Combat,Covet,Double Kick,Double-Edge,Fire Spin,Howl,Iron Tail,Morning Sun,Thrash,,,,,,Huge Power,,,,,,Poison Powder,Poison,,,,Wiki Berry,,,,,,,HKTW Shiny Celebi,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Jungle_Pok.C3.A9mon
Growlithe-Hisui,58,,,♂ 75%,♀ 25%,Fire,Rock,"5,120",Field,----,Intimidate,Flash Fire,Justified,----,Body Slam,Burn Up,Close Combat,Covet,Double Kick,Double-Edge,Fire Spin,Howl,Iron Tail,Morning Sun,Thrash,,,,,,,,,,,,,,,,,,,,,,,,Shiny Hero Duo,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Shiny_Hero_duo
Arcanine,59,,,♂ 75%,♀ 25%,Fire,----,"5,120",Field,----,Intimidate,Flash Fire,Justified,----,Body Slam,Burn Up,Close Combat,Covet,Double Kick,Double-Edge,Fire Spin,Howl,Iron Tail,Morning Sun,Thrash,,,,,,Hustle,,,,,,Stun Spore,Grass,,,,Yache Berry,,,,,,,BDSP Release Manaphy Egg,https://bulbapedia.bulbagarden.net/wiki/List_of_internet_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Manaphy_Egg
Poliwag,60,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,----,Water Absorb,Damp,Swift Swim,----,Encore,Endeavor,Endure,Haze,Ice Ball,Mind Reader,Mist,Refresh,Splash,Water Pulse,,,,,,,Hydration,,,,,,Sleep Powder,Grass,,,,Macho Brace,,,,,,,TCG Melemele Shiny Tapu Koko,"https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_(Sun,_Moon,_Ultra_Sun,_and_Ultra_Moon)#Melemele_Island_Shiny_Tapu_Koko"
Poliwhirl,61,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,----,Water Absorb,Damp,Swift Swim,----,Encore,Endeavor,Endure,Haze,Ice Ball,Mind Reader,Mist,Refresh,Splash,Water Pulse,,,,,,,Hyper Cutter,,,,,,Petal Dance,Grass,,,,Power Anklet,,,,,,,2022 International Challenge Shiny Galar Birds,https://bulbapedia.bulbagarden.net/wiki/List_of_internet_event_Pok%C3%A9mon_distributions_(Generation_VIII)#2022_International_Challenge_Shiny_Galarian_legendary_birds
Poliwrath,62,,,♂ 50%,♀ 50%,Water,Fighting,"5,120",Water 1,----,Water Absorb,Damp,Swift Swim,----,Encore,Endeavor,Endure,Haze,Ice Ball,Mind Reader,Mist,Refresh,Splash,Water Pulse,,,,,,,Ice Body,,,,,,String Shot,Bug,,,,Power Band,,,,,,,Oak's Letter Shaymin,https://bulbapedia.bulbagarden.net/wiki/List_of_in-game_event_Pok%C3%A9mon_(Brilliant_Diamond_and_Shining_Pearl)#Shaymin
Abra,63,,,♂ 75%,♀ 25%,Psychic,----,"5,120",Human-Like,----,Synchronize,Inner Focus,Magic Guard,----,Barrier,Encore,Fire Punch,Guard Split,Guard Swap,Ice Punch,Knock Off,Power Trick,Psycho Shift,Skill Swap,Thunder Punch,,,,,,Illuminate,,,,,,Dragon Rage,Dragon,,,,Power Belt,,,,,,,EU Winter 2011 Celebi,https://bulbapedia.bulbagarden.net/wiki/List_of_local_English_event_Pok%C3%A9mon_distributions_(Generation_IV)#European_Winter_2011_Celebi
Kadabra,64,,,♂ 75%,♀ 25%,Psychic,----,"5,120",Human-Like,----,Synchronize,Inner Focus,Magic Guard,----,Barrier,Encore,Fire Punch,Guard Split,Guard Swap,Ice Punch,Knock Off,Power Trick,Psycho Shift,Skill Swap,Thunder Punch,,,,,,Illusion,,,,,,Fire Spin,Fire,,,,Power Bracer,,,,,,,Member's Card Darkrai,https://bulbapedia.bulbagarden.net/wiki/List_of_in-game_event_Pok%C3%A9mon_(Brilliant_Diamond_and_Shining_Pearl)#Darkrai
Alakazam,65,,,♂ 75%,♀ 25%,Psychic,----,"5,120",Human-Like,----,Synchronize,Inner Focus,Magic Guard,----,Barrier,Encore,Fire Punch,Guard Split,Guard Swap,Ice Punch,Knock Off,Power Trick,Psycho Shift,Skill Swap,Thunder Punch,,,,,,Immunity,,,,,,Thunder Shock,Electric,,,,Power Lens,,,,,,,Marco Silva's Dracovish,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Marco_Hemantha_Kaludura_Silva.27s_Dracovish
Mega Alakazam,65,,,♂ 75%,♀ 25%,Psychic,----,"5,120",Human-Like,----,Trace,----,----,----,Barrier,Encore,Fire Punch,Guard Split,Guard Swap,Ice Punch,Knock Off,Power Trick,Psycho Shift,Skill Swap,Thunder Punch,,,,,,Imposter,,,,,,Thunderbolt,Electric,,,,Power Weight,,,,,,,Project Pochama Pocha Marche PLA,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Project_Pochama_Pocha_Marche_Piplup
Machop,66,,,♂ 75%,♀ 25%,Fighting,----,"5,120",Human-Like,----,Guts,No Guard,Steadfast,----,Bullet Punch,Close Combat,Counter,Encore,Fire Punch,Heavy Slam,Ice Punch,Meditate,Power Trick,Quick Guard,Rolling Kick,Smelling Salts,Thunder Punch,Tickle,,,Infiltrator,,,,,,Thunder Wave,Electric,,,,Dawn Stone,,,,,,,Project Pochama Pocha Marche BDSP,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#In_Pok.C3.A9mon_Brilliant_Diamond_and_Shining_Pearl_3
Machoke,67,,,♂ 75%,♀ 25%,Fighting,----,"5,120",Human-Like,----,Guts,No Guard,Steadfast,----,Bullet Punch,Close Combat,Counter,Encore,Fire Punch,Heavy Slam,Ice Punch,Meditate,Power Trick,Quick Guard,Rolling Kick,Smelling Salts,Thunder Punch,Tickle,,,Innards Out,,,,,,Thunder,Electric,,,,Deep Sea Scale,,,,,,,Teresa Roca's Hisuian Growlithe,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Teresa_Roca.27s_Hisuian_Growlithe
Machamp,68,,,♂ 75%,♀ 25%,Fighting,----,"5,120",Human-Like,----,Guts,No Guard,Steadfast,----,Bullet Punch,Close Combat,Counter,Encore,Fire Punch,Heavy Slam,Ice Punch,Meditate,Power Trick,Quick Guard,Rolling Kick,Smelling Salts,Thunder Punch,Tickle,,,Inner Focus,,,,,,Rock Throw,Rock,,,,Deep Sea Tooth,,,,,,,Dawn's Piplup PLA,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#In_Pok.C3.A9mon_Legends:_Arceus
Bellsprout,69,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Grass,----,Chlorophyll,----,Gluttony,----,Acid Spray,Belch,Bullet Seed,Clear Smog,Encore,Giga Drain,Ingrain,Magical Leaf,Natural Gift,Power Whip,Synthesis,Tickle,Weather Ball,Worry Seed,,,Insomnia,,,,,,Earthquake,Ground,,,,Dragon Scale,,,,,,,Dawn's Piplup BDSP,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#In_Pok.C3.A9mon_Brilliant_Diamond_and_Shining_Pearl
Weepinbell,70,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Grass,----,Chlorophyll,----,Gluttony,----,Acid Spray,Belch,Bullet Seed,Clear Smog,Encore,Giga Drain,Ingrain,Magical Leaf,Natural Gift,Power Whip,Synthesis,Tickle,Weather Ball,Worry Seed,,,Intimidate,,,,,,Fissure,Ground,,,,Dubious Disc,,,,,,,Ten'i Village Regigigas PLA,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#In_Pok.C3.A9mon_Legends:_Arceus_2
Victreebel,71,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Grass,----,Chlorophyll,----,Gluttony,----,Acid Spray,Belch,Bullet Seed,Clear Smog,Encore,Giga Drain,Ingrain,Magical Leaf,Natural Gift,Power Whip,Synthesis,Tickle,Weather Ball,Worry Seed,,,Iron Barbs,,,,,,Dig,Ground,,,,Dusk Stone,,,,,,,Ten'i Village Regigigas BDSP,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#In_Pok.C3.A9mon_Brilliant_Diamond_and_Shining_Pearl_2
Tentacool,72,,,♂ 50%,♀ 50%,Water,Poison,"5,120",Water 3,----,Clear Body,Liquid Ooze,Rain Dish,----,Acupressure,Aqua Ring,Aurora Beam,Bubble,Confuse Ray,Haze,Knock Off,Mirror Coat,Muddy Water,Rapid Spin,Tickle,,,,,,Iron Fist,,,,,,Toxic,Poison,,,,Electirizer,,,,,,,Wonseok Jung's Grimmsnarl,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Wonseok_Jung.27s_Grimmsnarl
Tentacruel,73,,,♂ 50%,♀ 50%,Water,Poison,"5,120",Water 3,----,Clear Body,Liquid Ooze,Rain Dish,----,Acupressure,Aqua Ring,Aurora Beam,Bubble,Confuse Ray,Haze,Knock Off,Mirror Coat,Muddy Water,Rapid Spin,Tickle,,,,,,Justified,,,,,,Confusion,Psychic,,,,Fire Stone,,,,,,,Kohei Fujida's Sableye,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Kohei_Fujida.27s_Sableye
Geodude,74,,,♂ 50%,♀ 50%,Rock,Ground,"3,840",Mineral,----,Rock Head,Sturdy,Sand Veil,----,Autotomize,Block,Curse,Endure,Flail,Focus Punch,Hammer Arm,Mega Punch,Rock Climb,Wide Guard,,,,,,,Keen Eye,,,,,,Psychic,Psychic,,,,Ice Stone,,,,,,,Jirawiwat Thitasiri's Clefairy,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Jirawiwat_Thitasiri.27s_Clefairy
Geodude-Alola,74,,,♂ 50%,♀ 50%,Rock,Electric,"3,840",Mineral,----,Magnet Pull,Sturdy,Galvanize,----,Autotomize,Block,Counter,Curse,Endure,Flail,Magnet Rise,Rock Climb,Screech,Wide Guard,,,,,,,Klutz,,,,,,Hypnosis,Psychic,,,,Kings Rock,,,,,,,Eric Rios's East Sea Gastrodon,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_(Generation_VIII)#Eric_Rios.27s_East_Sea_Gastrodon
Graveler,75,,,♂ 50%,♀ 50%,Rock,Ground,"3,840",Mineral,----,Rock Head,Sturdy,Sand Veil,----,Autotomize,Block,Curse,Endure,Flail,Focus Punch,Hammer Arm,Mega Punch,Rock Climb,Wide Guard,,,,,,,Leaf Guard,,,,,,Meditate,Psychic,,,,Leaf Stone,,,,,,,,
Graveler-Alola,75,,,♂ 50%,♀ 50%,Rock,Electric,"3,840",Mineral,----,Magnet Pull,Sturdy,Galvanize,----,Autotomize,Block,Counter,Curse,Endure,Flail,Magnet Rise,Rock Climb,Screech,Wide Guard,,,,,,,Levitate,,,,,,Agility,Psychic,,,,Magmarizer,,,,,,,,
Golem,76,,,♂ 50%,♀ 50%,Rock,Ground,"3,840",Mineral,----,Rock Head,Sturdy,Sand Veil,----,Autotomize,Block,Curse,Endure,Flail,Focus Punch,Hammer Arm,Mega Punch,Rock Climb,Wide Guard,,,,,,,Light Metal,,,,,,Quick Attack,Normal,,,,Metal Coat,,,,,,,,
Golem-Alola,76,,,♂ 50%,♀ 50%,Rock,Electric,"3,840",Mineral,----,Magnet Pull,Sturdy,Galvanize,----,Autotomize,Block,Counter,Curse,Endure,Flail,Magnet Rise,Rock Climb,Screech,Wide Guard,,,,,,,Lightning Rod,,,,,,Rage,Normal,,,,Moon Stone,,,,,,,,
Ponyta,77,,,♂ 50%,♀ 50%,Fire,----,"5,120",Field,----,Run Away,Flash Fire,Flame Body,----,Ally Switch,Captivate,Charm,Double Kick,Double-Edge,Horn Drill,Hypnosis,Low Kick,Morning Sun,Thrash,,,,,,,Limber,,,,,,Teleport,Psychic,,,,Oval Stone,,,,,,,,
Ponyta-Galar,77,,,♂ 50%,♀ 50%,Psychic,----,"5,120",Field,----,Run Away,Pastel Veil,Anticipation,----,Thrash,Double Kick,Hypnosis,Double-Edge,Horn Drill,Morning Sun,,,,,,,,,,,,,,,,,Night Shade,Ghost,,,,,,,,,,,,
Rapidash,78,,,♂ 50%,♀ 50%,Fire,----,"5,120",Field,----,Run Away,Flash Fire,Flame Body,----,Ally Switch,Captivate,Charm,Double Kick,Double-Edge,Horn Drill,Hypnosis,Low Kick,Morning Sun,Thrash,,,,,,,Liquid Ooze,,,,,,Mimic,Normal,,,,Prism Scale,,,,,,,,
Slowpoke,79,,,♂ 50%,♀ 50%,Water,Psychic,"5,120",Monster,Water 1,Oblivious,Own Tempo,Regenerator,----,Belch,Belly Drum,Block,Future Sight,Me First,Mud Sport,Snore,Stomp,Wonder Room,,,,,,,,Liquid Voice,,,,,,Screech,Normal,,,,Protector,,,,,,,,
Slowbro,80,,,♂ 50%,♀ 50%,Water,Psychic,"5,120",Monster,Water 1,Oblivious,Own Tempo,Regenerator,----,Belch,Belly Drum,Block,Future Sight,Me First,Mud Sport,Snore,Stomp,Wonder Room,,,,,,,,Long Reach,,,,,,Double Team,Normal,,,,Razor Claw,,,,,,,,
